rx,ry,rtheta,hx1,hy1,hx2,hy2
1.49843,8.24463,1.57,4,13.45,9,6.65
1.49843,8.25463,1.57,4,13.6,9,6.5
1.49844,8.26463,1.57,4,13.75,9,6.35
1.49845,8.27463,1.57,4,13.9,9,6.2
1.49846,8.28463,1.57,4,14.05,9,6.05
1.49847,8.29463,1.57,4,14.2,9,5.9
1.49847,8.30463,1.57,4,14.35,9,5.75
1.49848,8.31463,1.57,4,14.5,9,5.6
1.49849,8.32463,1.57,4,14.65,9,5.45
1.4985,8.33463,1.57,4,14.8,9,5.3
1.49851,8.34463,1.57,4,14.95,9,5.15
1.49851,8.35463,1.57,4,15.1,9,5
1.49852,8.36463,1.57,4,15.25,9,4.85
1.49853,8.37463,1.57,4,15.4,9,4.7
1.49854,8.38463,1.57,4,15.55,9,4.55
1.49855,8.39463,1.57,4,15.4,9,4.4
1.49855,8.40463,1.57,4,15.25,9,4.25
1.49856,8.41463,1.57,4,15.1,9,4.1
1.49857,8.42463,1.57,4,14.95,9,3.95
1.49858,8.43464,1.57,4,14.8,9,3.8
1.49859,8.44464,1.57,4,14.65,9,3.65
1.49859,8.45464,1.57,4,14.5,9,3.5
1.4986,8.46464,1.57,4,14.35,9,3.35
1.49861,8.47464,1.57,4,14.2,9,3.2
1.49862,8.48464,1.57,4,14.05,9,3.05
1.49863,8.49464,1.57,4,13.9,9,2.9
1.49863,8.50464,1.57,4,13.75,9,2.75
1.49864,8.51464,1.57,4,13.6,9,2.6
1.49865,8.52464,1.57,4,13.45,9,2.45
1.49866,8.53464,1.57,4,13.3,9,2.6
1.49867,8.54464,1.57,4,13.15,9,2.75
1.49867,8.55464,1.57,4,13,9,2.9
1.49868,8.56464,1.57,4,12.85,9,3.05
1.49869,8.57464,1.57,4,12.7,9,3.2
1.4987,8.58464,1.57,4,12.55,9,3.35
1.49871,8.59464,1.57,4,12.4,9,3.5
1.49871,8.60464,1.57,4,12.25,9,3.65
1.49872,8.61464,1.57,4,12.1,9,3.8
1.49873,8.62464,1.57,4,11.95,9,3.95
1.49874,8.63464,1.57,4,11.8,9,4.1
1.49875,8.64464,1.57,4,11.65,9,4.25
1.49875,8.65464,1.57,4,11.5,9,4.4
1.49876,8.66464,1.57,4,11.35,9,4.55
1.49877,8.67464,1.57,4,11.5,9,4.7
1.49878,8.68464,1.57,4,11.65,9,4.85
1.49879,8.69464,1.57,4,11.8,9,5
1.49879,8.70464,1.57,4,11.95,9,5.15
1.4988,8.71464,1.57,4,12.1,9,5.3
1.49881,8.72464,1.57,4,12.25,9,5.45
1.49882,8.73464,1.57,4,12.4,9,5.6
1.49883,8.74464,1.57,4,12.55,9,5.75
1.49883,8.75464,1.57,4,12.7,9,5.9
1.49884,8.76464,1.57,4,12.85,9,6.05
1.49885,8.77464,1.57,4,13,9,6.2
1.49886,8.78464,1.57,4,13.15,9,6.35
1.49887,8.79464,1.57,4,13.3,9,6.5
1.49887,8.80464,1.57,4,13.45,9,6.65
1.49888,8.81464,1.57,4,13.6,9,6.8
1.49889,8.82464,1.57,4,13.75,9,6.95
1.4989,8.83464,1.57,4,13.9,9,7.1
1.49891,8.84464,1.57,4,14.05,9,7.25
1.49891,8.85464,1.57,4,14.2,9,7.4
1.49892,8.86465,1.57,4,14.35,9,7.55
1.49893,8.87465,1.57,4,14.5,9,7.4
1.49894,8.88465,1.57,4,14.65,9,7.25
1.49895,8.89465,1.57,4,14.8,9,7.1
1.49895,8.90465,1.57,4,14.95,9,6.95
1.49896,8.91465,1.57,4,15.1,9,6.8
1.49897,8.92465,1.57,4,15.25,9,6.65
1.49898,8.93465,1.57,4,15.4,9,6.5
1.49899,8.94465,1.57,4,15.55,9,6.35
1.49899,8.95465,1.57,4,15.4,9,6.2
1.499,8.96465,1.57,4,15.25,9,6.05
1.49901,8.97465,1.57,4,15.1,9,5.9
1.49902,8.98465,1.57,4,14.95,9,5.75
1.49903,8.99465,1.57,4,14.8,9,5.6
1.49903,9.00465,1.57,4,14.65,9,5.45
1.49904,9.01465,1.57,4,14.5,9,5.3
1.49905,9.02465,1.57,4,14.35,9,5.15
1.49906,9.03465,1.57,4,14.2,9,5
1.49907,9.04465,1.57,4,14.05,9,4.85
1.49907,9.05465,1.57,4,13.9,9,4.7
1.49908,9.06465,1.57,4,13.75,9,4.55
1.49909,9.07465,1.57,4,13.6,9,4.4
1.4991,9.08465,1.57,4,13.45,9,4.25
1.49911,9.09465,1.57,4,13.3,9,4.1
1.49911,9.10465,1.57,4,13.15,9,3.95
1.49912,9.11465,1.57,4,13,9,3.8
1.49913,9.12465,1.57,4,12.85,9,3.65
1.49914,9.13465,1.57,4,12.7,9,3.5
1.49915,9.14465,1.57,4,12.55,9,3.35
1.49915,9.15465,1.57,4,12.4,9,3.2
1.49916,9.16465,1.57,4,12.25,9,3.05
1.49917,9.17465,1.57,4,12.1,9,2.9
1.49918,9.18465,1.57,4,11.95,9,2.75
1.49919,9.19465,1.57,4,11.8,9,2.6
1.49919,9.20465,1.57,4,11.65,9,2.45
1.4992,9.21465,1.57,4,11.5,9,2.6
1.49921,9.22465,1.57,4,11.35,9,2.75
1.49922,9.23465,1.57,4,11.5,9,2.9
1.49923,9.24465,1.57,4,11.65,9,3.05
1.49923,9.25465,1.57,4,11.8,9,3.2
1.49924,9.26465,1.57,4,11.95,9,3.35
1.49925,9.27465,1.57,4,12.1,9,3.5
1.49926,9.28465,1.57,4,12.25,9,3.65
1.49927,9.29465,1.57,4,12.4,9,3.8
1.49927,9.30466,1.57,4,12.55,9,3.95
1.49928,9.31466,1.57,4,12.7,9,4.1
1.49929,9.32466,1.57,4,12.85,9,4.25
1.4993,9.33466,1.57,4,13,9,4.4
1.49931,9.34466,1.57,4,13.15,9,4.55
1.49931,9.35466,1.57,4,13.3,9,4.7
1.49932,9.36466,1.57,4,13.45,9,4.85
1.49933,9.37466,1.57,4,13.6,9,5
1.49934,9.38466,1.57,4,13.75,9,5.15
1.49935,9.39466,1.57,4,13.9,9,5.3
1.49935,9.40466,1.57,4,14.05,9,5.45
1.49936,9.41466,1.57,4,14.2,9,5.6
1.49937,9.42466,1.57,4,14.35,9,5.75
1.49938,9.43466,1.57,4,14.5,9,5.9
1.49939,9.44466,1.57,4,14.65,9,6.05
1.49939,9.45466,1.57,4,14.8,9,6.2
1.4994,9.46466,1.57,4,14.95,9,6.35
1.49941,9.47466,1.57,4,15.1,9,6.5
1.49942,9.48466,1.57,4,15.25,9,6.65
1.49943,9.49466,1.57,4,15.4,9,6.8
1.49943,9.50466,1.57,4,15.55,9,6.95
1.49944,9.51466,1.57,4,15.4,9,7.1
1.49945,9.52466,1.57,4,15.25,9,7.25
1.49946,9.53466,1.57,4,15.1,9,7.4
1.49946,9.54466,1.57,4,14.95,9,7.55
1.49947,9.55466,1.57,4,14.8,9,7.4
1.49948,9.56466,1.57,4,14.65,9,7.25
1.49949,9.57466,1.57,4,14.5,9,7.1
1.4995,9.58466,1.57,4,14.35,9,6.95
1.4995,9.59466,1.57,4,14.2,9,6.8
1.49951,9.60466,1.57,4,14.05,9,6.65
1.49952,9.61466,1.57,4,13.9,9,6.5
1.49953,9.62466,1.57,4,13.75,9,6.35
1.49954,9.63466,1.57,4,13.6,9,6.2
1.49954,9.64466,1.57,4,13.45,9,6.05
1.49955,9.65466,1.57,4,13.3,9,5.9
1.49956,9.66466,1.57,4,13.15,9,5.75
1.49957,9.67466,1.57,4,13,9,5.6
1.49958,9.68466,1.57,4,12.85,9,5.45
1.49958,9.69466,1.57,4,12.7,9,5.3
1.49959,9.70466,1.57,4,12.55,9,5.15
1.4996,9.71466,1.57,4,12.4,9,5
1.49961,9.72466,1.57,4,12.25,9,4.85
1.49962,9.73466,1.57,4,12.1,9,4.7
1.49962,9.74467,1.57,4,11.95,9,4.55
1.49963,9.75467,1.57,4,11.8,9,4.4
1.49964,9.76467,1.57,4,11.65,9,4.25
1.49965,9.77467,1.57,4,11.5,9,4.1
1.49966,9.78467,1.57,4,11.35,9,3.95
1.49966,9.79467,1.57,4,11.5,9,3.8
1.49967,9.80467,1.57,4,11.65,9,3.65
1.49968,9.81467,1.57,4,11.8,9,3.5
1.49969,9.82467,1.57,4,11.95,9,3.35
1.4997,9.83467,1.57,4,12.1,9,3.2
1.4997,9.84467,1.57,4,12.25,9,3.05
1.49971,9.85467,1.57,4,12.4,9,2.9
1.49972,9.86467,1.57,4,12.55,9,2.75
1.49973,9.87467,1.57,4,12.7,9,2.6
1.49974,9.88467,1.57,4,12.85,9,2.45
1.49974,9.89467,1.57,4,13,9,2.6
1.49975,9.90467,1.57,4,13.15,9,2.75
1.49976,9.91467,1.57,4,13.3,9,2.9
1.49977,9.92467,1.57,4,13.45,9,3.05
1.49978,9.93467,1.57,4,13.6,9,3.2
1.49978,9.94467,1.57,4,13.75,9,3.35
1.49979,9.95467,1.57,4,13.9,9,3.5
1.4998,9.96467,1.57,4,14.05,9,3.65
1.49981,9.97467,1.57,4,14.2,9,3.8
1.49982,9.98467,1.57,4,14.35,9,3.95
1.49982,9.99467,1.57,4,14.5,9,4.1
1.49983,10.0047,1.57,4,14.65,9,4.25
1.49984,10.0147,1.57,4,14.8,9,4.4
1.49985,10.0247,1.58,4,14.95,9,4.55
1.49976,10.0347,1.58,4,15.1,9,4.7
1.49966,10.0447,1.58,4,15.25,9,4.85
1.49957,10.0547,1.58,4,15.4,9,5
1.49948,10.0647,1.58,4,15.55,9,5.15
1.49939,10.0747,1.58,4,15.4,9,5.3
1.4993,10.0847,1.58,4,15.25,9,5.45
1.4992,10.0947,1.58,4,15.1,9,5.6
1.49911,10.1047,1.58,4,14.95,9,5.75
1.49902,10.1147,1.58,4,14.8,9,5.9
1.49893,10.1247,1.58,4,14.65,9,6.05
1.49884,10.1347,1.58,4,14.5,9,6.2
1.49874,10.1447,1.58,4,14.35,9,6.35
